anio,date,home_team,away_team,goles_local,goles_visita,abs_elo_diff,cdf_prev_local,pmf_local,cdf_prev_visita,pmf_visita,prob_local,prob_empate,prob_visita,pred_over_3.5,obs_over_3.5,pred_over_4.5,obs_over_4.5,pred_margen_>=3,obs_margen_>=3,pred_alguno_>=3,obs_alguno_>=3
2023,2023-03-27,Saint Lucia,Dominica,3,1,118.40553757948146,0.9166424201888422,0.06334228624797289,0.5532227186747924,0.3275048688787653,0.44676321150951426,0.34657475341823873,0.20666203507224706,0.0799858601036316,1,0.024152463453923162,0,0.06239377120935791,0,0.10382790405162184,1
2023,2023-03-27,Saint Vincent and the Grenadines,Bahamas,1,1,63.85993895388128,0.09115521357696349,0.2183380549166505,0.4614189851960143,0.3568839548072033,0.7314187477296318,0.16865414284425792,0.09992710942611015,0.3904762678987585,0,0.213798982249629,0,0.2971483903790403,0,0.45396248436605013,0
2023,2023-03-27,Trinidad and Tobago,Nicaragua,1,1,95.04467476642776,0.22768718709567806,0.33692764301888806,0.410347121853146,0.3655174546184203,0.5062614497295508,0.2703069716888296,0.22343157858161986,0.21514117615180384,0,0.09220939922238375,0,0.12147229272714352,0,0.2360224155942447,0
2023,2023-03-28,Indonesia,Burundi,2,2,14.99732489221742,0.6242147272690592,0.23119756510487535,0.41407115085143886,0.27061278470908473,0.2502267591720721,0.22380475581861878,0.5259684850093092,0.414748618232043,1,0.2333677763238088,0,0.1828268028285212,0,0.4143129451305655,0
2023,2023-03-28,Namibia,Cameroon,2,1,254.15952360183678,0.8963860516872071,0.08572759396914856,0.26915777915139405,0.35325819498611305,0.1507996511185146,0.29537607959103745,0.5538242692904479,0.11783446165205574,0,0.04057731566672101,0,0.10535346595102409,0,0.1610449453635798,0
2023,2023-03-28,Argentina,Curaçao,7,0,688.474049946444,0.7949358008310005,0.09834825533943183,0.0,0.7231608674516867,0.9761823233140654,0.01970493518945996,0.004112741496474554,0.7535632489970885,1,0.5819556659407629,1,0.8084561425722996,1,0.8595862845961273,1
2023,2023-03-28,Armenia,Cyprus,2,2,84.98514420020228,0.47866879002255464,0.26599280360254834,0.6957744264078287,0.2028444671653903,0.5201970831995404,0.24199747509369068,0.237805441706769,0.3206092233437045,1,0.16119409013653954,0,0.15570435837974694,0,0.33083302265014014,0
2023,2023-03-28,Australia,Ecuador,1,2,19.039685911273637,0.27592265168459384,0.35528761527452,0.6690245970590141,0.21427264568352233,0.3859692185487252,0.2784939741594209,0.3355368072918539,0.23602209677630123,0,0.10484481306727986,0,0.10597455583072998,0,0.24040798837790173,0
2023,2023-03-28,Bahrain,Syria,1,0,60.18539814853739,0.21160421416288658,0.32862947742166054,0.0,0.3676150819553701,0.4981350544944965,0.2611663665150424,0.24069857899046096,0.25397395526399824,0,0.11611820710760318,0,0.13040242723381806,0,0.26855781316470856,0
2023,2023-03-28,Germany,Belgium,2,3,2.2658391849033706,0.4399988504689026,0.26962599768690604,0.772727378884881,0.14271720151107958,0.435633133068748,0.22559346327422364,0.3387734036570283,0.4674731185474238,1,0.27815587678299797,1,0.1752882797394461,0,0.4516534510929803,1
2023,2023-03-28,India,Kyrgyzstan,2,0,33.833687089728755,0.6630266542694949,0.21669999676864002,0.0,0.25081924769683034,0.32156756756081945,0.2704510453349244,0.407981387104256,0.26006958760703325,0,0.12003156225215605,0,0.11480510410090372,0,0.26315361632475587,0
2023,2023-03-28,Iran,Kenya,2,1,352.25605369292475,0.3332650386380961,0.2655461343423846,0.6357836926504118,0.28794445036806776,0.7897531967310358,0.1542685500099838,0.05597825325898034,0.2952817108720163,0,0.14345868186512808,0,0.3193486522097575,0,0.40781604121766196,0
2023,2023-03-28,Eswatini,Cape Verde,0,1,188.10083490753095,0.0,0.4970139901186258,0.2262338675029362,0.336225721410514,0.1721586593546842,0.26970067278089366,0.5581406678644222,0.17776896912440981,0,0.0709181084770309,0,0.12763385527763838,0,0.21534157164736115,0
2023,2023-03-28,South Korea,Uruguay,1,2,95.62332839530609,0.3972735281915028,0.3667352122403442,0.5811913294881985,0.24477533696958825,0.23958510865467741,0.27529505509484675,0.48511983625047606,0.21173828803796968,0,0.09019978038134652,0,0.11460866866021821,0,0.22914106559141806,0
2023,2023-03-28,Nepal,Bhutan,1,1,305.6943860165884,0.04102579325629563,0.13103819326657584,0.5447844388278558,0.33088304846938477,0.866140944439675,0.0942160663044693,0.039642989255855604,0.5265715891554575,0,0.33210324173741307,0,0.49371989800939275,0,0.6277596249282272,0
2023,2023-03-28,Uzbekistan,Venezuela,1,1,68.3642864275289,0.42144760704421963,0.3641559404247312,0.2734885162686033,0.35457670709499367,0.2450966806959362,0.2923795632819426,0.4625237560221212,0.1729477752917628,0,0.0682992223491859,0,0.0974676348493719,0,0.19104276975287587,0
2023,2023-03-28,United Arab Emirates,Thailand,2,0,53.336667296575115,0.5124390001837923,0.2608050259419013,0.0,0.42183317796923225,0.5540064416097551,0.252103836159064,0.19388972223118073,0.24287295859855068,0,0.10910224246416086,0,0.1460618589347655,0,0.2707739838138038,0
2023,2023-03-28,Saudi Arabia,Bolivia,1,2,40.475407179807235,0.22561424118246284,0.3359236201825092,0.7315370710274776,0.18603851983068015,0.4789460674208352,0.2674156438089435,0.2536382887702212,0.24251015257443395,0,0.10887569476571136,0,0.12204878415890132,0,0.25527629294475573,0
2023,2023-03-28,Morocco,Peru,0,0,45.236105940215566,0.0,0.4252022618015952,0.0,0.4415324171888241,0.3351422160214768,0.35091670668143304,0.3139410772970899,0.08914769410496282,0,0.027910811427354076,0,0.0540252544352812,0,0.10287265316353553,0
2023,2023-03-28,Malaysia,Hong Kong,2,0,103.3062600369351,0.5730636726754725,0.2470394402210485,0.0,0.47484533581889615,0.5374828062636691,0.27419835313865626,0.18831884059767484,0.18056331040634066,0,0.07244976996741119,0,0.12096722716987056,0,0.2125477668316612,0
2023,2023-03-28,Kuwait,Tajikistan,2,1,28.076884156056394,0.6634172247592653,0.21654344706873102,0.3844076817323155,0.36751358869411627,0.4115430867948914,0.299368638528379,0.2890882746767295,0.1716535515324409,0,0.06760127658535027,0,0.08840802519137039,0,0.18374649894345443,0
